date,Close_TGA
2000-01-03,103083.0
2000-01-04,273232.0
2000-01-05,273924.0
2000-01-06,753832.0
2000-01-07,169054.0
2000-01-10,701630.0
2000-01-11,526309.0
2000-01-12,459764.0
2000-01-13,592761.0
2000-01-14,163249.0
2000-01-17,527982.0
2000-01-18,713035.0
2000-01-19,733980.0
2000-01-20,397680.0
2000-01-21,635371.0
2000-01-24,658837.0
2000-01-25,415024.0
2000-01-26,566129.0
2000-01-27,590755.0
2000-01-28,830799.0
2000-01-31,710345.0
2000-02-01,342259.0
2000-02-02,444749.0
2000-02-03,694846.0
2000-02-04,598654.0
2000-02-07,561084.0
2000-02-08,564100.0
2000-02-09,359656.0
2000-02-10,279215.0
2000-02-11,462445.0
2000-02-14,509236.0
2000-02-15,551878.0
2000-02-16,300246.0
2000-02-17,637544.0
2000-02-18,319242.0
2000-02-21,352502.0
2000-02-22,351247.0
2000-02-23,339280.0
2000-02-24,405316.0
2000-02-25,588390.0
2000-02-28,71164.0
2000-02-29,549854.0
2000-03-01,412019.0
2000-03-02,382395.0
2000-03-03,378259.0
2000-03-06,185279.0
2000-03-07,147624.0
2000-03-08,469276.0
2000-03-09,589602.0
2000-03-10,554356.0
2000-03-13,160025.0
2000-03-14,-13046.0
2000-03-15,228691.0
2000-03-16,615863.0
2000-03-17,584112.0
2000-03-20,555046.0
2000-03-21,730579.0
2000-03-22,577358.0
2000-03-23,802123.0
2000-03-24,291216.0
2000-03-27,529735.0
2000-03-28,437035.0
2000-03-29,210342.0
2000-03-30,537880.0
2000-03-31,481851.0
2000-04-03,199834.0
2000-04-04,352854.0
2000-04-05,372421.0
2000-04-06,481744.0
2000-04-07,746788.0
2000-04-10,591692.0
2000-04-11,612194.0
2000-04-12,391485.0
2000-04-13,529923.0
2000-04-14,376229.0
2000-04-17,667658.0
2000-04-18,242787.0
2000-04-19,321680.0
2000-04-20,1091234.0
2000-04-21,388508.0
2000-04-24,502340.0
2000-04-25,400476.0
2000-04-26,703241.0
2000-04-27,843022.0
2000-04-28,64947.0
2000-05-01,919503.0
2000-05-02,685614.0
2000-05-03,718381.0
2000-05-04,461368.0
2000-05-05,404596.0
2000-05-08,733408.0
2000-05-09,214117.0
2000-05-10,333075.0
2000-05-11,311516.0
2000-05-12,412672.0
2000-05-15,596042.0
2000-05-16,294858.0
2000-05-17,738253.0
2000-05-18,518947.0
2000-05-19,671536.0
2000-05-22,628893.0
2000-05-23,678330.0
2000-05-24,507580.0
2000-05-25,377946.0
2000-05-26,532770.0
2000-05-29,204105.0
2000-05-30,340523.0
2000-05-31,295427.0
2000-06-01,716891.0
2000-06-02,430218.0
